session_id,timestamp,session_date,device_model,firmware_version,satellite_id,ground_station_id,service_type,snr_db,elevation_degrees,handshake_latency_ms,packet_drop_rate,qoe_tier,ml_anomaly_flag,is_anomaly
SES-192803,2026-08-16 04:08:40+00:00,2026-08-16,Watch Ultra 2,v18.2.0-b2,GS-LEO-23,GS-CA-B,Roadside_Assistance,17.93,76.7,4193.0,0.0572,Degraded,-1,1
SES-103569,2026-08-08 15:38:06+00:00,2026-08-08,Watch Ultra 2,v18.2.0-b2,GS-LEO-23,GS-CA-B,Roadside_Assistance,11.4,76.2,4124.0,0.0173,Degraded,-1,1
SES-130277,2026-08-22 12:33:37+00:00,2026-08-22,Watch Ultra 2,v18.2.0-b2,GS-LEO-23,GS-CA-B,FindMy_Ping,14.23,78.7,3974.0,0.0078,Degraded,-1,1
SES-150654,2026-08-28 08:49:14+00:00,2026-08-28,Watch Ultra 2,v18.2.0-b2,GS-LEO-23,GS-FL-C,FindMy_Ping,17.65,70.2,3824.0,0.1016,Degraded,-1,1
SES-154865,2026-08-19 12:49:51+00:00,2026-08-19,Watch Ultra 2,v18.2.0-b2,GS-LEO-23,GS-TX-A,Messages_Satellite,16.0,80.9,3760.0,0.0239,Degraded,-1,1
SES-153844,2026-08-05 05:27:59+00:00,2026-08-05,Watch Ultra 2,v18.2.0-b2,GS-LEO-23,GS-FL-C,FindMy_Ping,19.44,50.3,3524.0,0.1032,Degraded,-1,1
SES-160102,2026-08-01 17:37:41+00:00,2026-08-01,Watch Ultra 2,v18.2.0-b2,GS-LEO-23,GS-CA-B,Messages_Satellite,12.4,49.2,3378.0,0.6518,Degraded,-1,1
SES-167028,2026-08-26 00:53:35+00:00,2026-08-26,Watch Ultra 2,v18.2.0-b2,GS-LEO-23,GS-CA-B,Messages_Satellite,22.32,58.1,3361.0,0.052,Degraded,-1,1
SES-125774,2026-08-28 09:29:34+00:00,2026-08-28,Watch Ultra 2,v18.2.0-b2,GS-LEO-06,GS-CA-B,FindMy_Ping,8.84,16.6,976.0,0.6716,Degraded,-1,1
SES-155885,2026-08-06 19:34:52+00:00,2026-08-06,Watch Ultra 2,v18.1.0,GS-LEO-23,GS-CA-B,Roadside_Assistance,0.61,70.5,1107.0,0.5291,Degraded,-1,1
SES-151284,2026-08-29 14:47:32+00:00,2026-08-29,Watch Ultra 2,v18.2.1,GS-LEO-06,GS-CA-B,Roadside_Assistance,7.2,31.6,1012.0,0.5599,Degraded,-1,1
SES-164529,2026-08-11 10:46:49+00:00,2026-08-11,Watch Ultra 2,v18.2.1,GS-LEO-06,GS-CA-B,Emergency_SOS,8.36,29.3,1092.0,0.673,Degraded,-1,1
SES-181832,2026-08-14 03:56:57+00:00,2026-08-14,Watch Ultra 2,v18.2.0-b2,GS-LEO-06,GS-OR-D,Messages_Satellite,20.56,18.9,2781.0,0.1426,Degraded,-1,1
SES-133839,2026-08-07 07:47:39+00:00,2026-08-07,Watch Ultra 2,v18.2.0-b2,GS-LEO-06,GS-OR-D,Messages_Satellite,26.4,26.8,3111.0,0.0812,Degraded,-1,1
SES-197782,2026-08-06 00:44:17+00:00,2026-08-06,Watch Ultra 2,v18.2.0-b2,GS-LEO-06,GS-TX-A,Messages_Satellite,22.66,31.5,3241.0,0.0136,Degraded,-1,1
SES-106412,2026-08-30 21:41:03+00:00,2026-08-30,Watch Ultra 2,v18.2.0-b2,GS-LEO-06,GS-TX-A,Messages_Satellite,9.33,30.8,3679.0,0.2448,Degraded,-1,1
SES-199276,2026-08-01 08:10:10+00:00,2026-08-01,Watch Ultra 2,v18.2.0-b2,GS-LEO-06,GS-CA-B,Messages_Satellite,23.18,20.9,3733.0,0.0614,Degraded,-1,1
SES-108255,2026-08-20 02:27:14+00:00,2026-08-20,Watch Ultra 2,v18.2.0-b2,GS-LEO-06,GS-TX-A,Roadside_Assistance,13.74,68.4,4338.0,0.0125,Degraded,-1,1
SES-180920,2026-08-05 17:17:43+00:00,2026-08-05,Watch Ultra 2,v18.2.0-b2,GS-LEO-06,GS-OR-D,FindMy_Ping,11.97,84.5,4349.0,0.005,Degraded,-1,1
SES-182175,2026-08-28 19:14:22+00:00,2026-08-28,Watch Ultra 2,v18.2.1,GS-LEO-23,GS-CA-B,Messages_Satellite,8.03,23.0,944.0,0.5412,Degraded,-1,1
SES-100444,2026-08-02 08:09:25+00:00,2026-08-02,Watch Ultra 2,v18.2.0-b2,GS-LEO-07,GS-CA-B,Messages_Satellite,18.28,32.8,759.0,0.5708,Degraded,-1,1
SES-182892,2026-08-20 04:08:03+00:00,2026-08-20,Watch Ultra 2,v18.2.0-b2,GS-LEO-07,GS-CA-B,FindMy_Ping,16.28,47.3,804.0,0.7364,Degraded,-1,1
SES-142712,2026-08-25 00:48:37+00:00,2026-08-25,Watch Ultra 2,v18.1.0,GS-LEO-07,GS-CA-B,Messages_Satellite,11.95,34.7,875.0,0.7081,Degraded,-1,1
SES-159952,2026-08-06 17:31:27+00:00,2026-08-06,Watch Ultra 2,v18.2.1,GS-LEO-07,GS-CA-B,FindMy_Ping,9.54,82.6,891.0,0.7524,Degraded,-1,1
SES-159188,2026-08-24 10:45:18+00:00,2026-08-24,Watch Ultra 2,v18.1.0,GS-LEO-23,GS-CA-B,Messages_Satellite,16.43,44.7,798.0,0.6722,Degraded,-1,1
SES-139739,2026-08-14 13:13:54+00:00,2026-08-14,Watch Ultra 2,v18.2.1,GS-LEO-23,GS-CA-B,Messages_Satellite,14.23,36.2,787.0,0.6923,Degraded,-1,1
SES-187582,2026-08-19 06:43:44+00:00,2026-08-19,Watch Ultra 2,v18.2.0-b2,GS-LEO-23,GS-CA-B,Messages_Satellite,16.86,53.5,712.0,0.6914,Degraded,-1,1
SES-100513,2026-08-31 17:25:46+00:00,2026-08-31,Watch Ultra 2,v18.1.0,GS-LEO-23,GS-CA-B,Roadside_Assistance,19.19,36.0,634.0,0.5505,Degraded,-1,1
SES-119552,2026-08-26 01:19:11+00:00,2026-08-26,Watch Ultra 2,v18.2.0-b2,GS-LEO-22,GS-CA-B,Messages_Satellite,3.73,59.4,4398.0,0.5881,Degraded,-1,1
SES-128624,2026-08-15 11:39:44+00:00,2026-08-15,Watch Ultra 2,v18.2.0-b2,GS-LEO-22,GS-CA-B,Messages_Satellite,19.68,66.3,4039.0,0.0406,Degraded,-1,1
SES-164083,2026-08-02 09:54:34+00:00,2026-08-02,Watch Ultra 2,v18.2.0-b2,GS-LEO-22,GS-TX-A,Roadside_Assistance,16.26,75.3,4004.0,0.2305,Degraded,-1,1
SES-137569,2026-08-24 09:47:21+00:00,2026-08-24,Watch Ultra 2,v18.2.0-b2,GS-LEO-22,GS-OR-D,FindMy_Ping,6.32,69.8,3855.0,0.0927,Degraded,-1,1
SES-174218,2026-08-24 06:24:55+00:00,2026-08-24,Watch Ultra 2,v18.2.0-b2,GS-LEO-22,GS-CA-B,Messages_Satellite,7.83,68.1,3654.0,0.2684,Degraded,-1,1
SES-148764,2026-08-27 15:19:13+00:00,2026-08-27,Watch Ultra 2,v18.2.0-b2,GS-LEO-22,GS-TX-A,Messages_Satellite,15.46,72.1,3267.0,0.3197,Degraded,-1,1
SES-103492,2026-08-10 11:41:01+00:00,2026-08-10,Watch Ultra 2,v18.1.0,GS-LEO-07,GS-CA-B,FindMy_Ping,2.26,39.4,1077.0,0.5061,Degraded,-1,1
SES-171912,2026-08-28 06:00:38+00:00,2026-08-28,Watch Ultra 2,v18.2.1,GS-LEO-07,GS-CA-B,Messages_Satellite,5.01,47.1,1109.0,0.6533,Degraded,-1,1
SES-115261,2026-08-05 07:11:41+00:00,2026-08-05,Watch Ultra 2,v18.2.1,GS-LEO-07,GS-TX-A,Messages_Satellite,2.17,83.4,1252.0,0.2865,Degraded,-1,1
SES-162807,2026-08-17 19:43:54+00:00,2026-08-17,Watch Ultra 2,v18.2.0-b2,GS-LEO-07,GS-FL-C,FindMy_Ping,17.57,79.3,3959.0,0.0186,Degraded,-1,1
SES-133206,2026-08-11 23:31:42+00:00,2026-08-11,Watch Ultra 2,v18.2.0-b2,GS-LEO-07,GS-OR-D,Messages_Satellite,16.9,81.6,4055.0,0.0521,Degraded,-1,1
SES-164203,2026-08-18 06:12:59+00:00,2026-08-18,Watch Ultra 2,v18.2.0-b2,GS-LEO-07,GS-CA-B,Roadside_Assistance,4.38,34.7,4198.0,0.0923,Degraded,-1,1
SES-198849,2026-08-02 06:27:58+00:00,2026-08-02,Watch Ultra 2,v18.2.0-b2,GS-LEO-07,GS-FL-C,Messages_Satellite,17.88,74.8,4261.0,0.0124,Degraded,-1,1
SES-162564,2026-08-17 18:40:20+00:00,2026-08-17,Watch Ultra 2,v18.1.0,GS-LEO-08,GS-CA-B,FindMy_Ping,15.91,76.9,756.0,0.7011,Degraded,-1,1
SES-150423,2026-08-08 19:29:55+00:00,2026-08-08,Watch Ultra 2,v18.2.0-b2,GS-LEO-08,GS-CA-B,Messages_Satellite,14.47,42.9,784.0,0.6755,Degraded,-1,1
SES-190563,2026-08-09 12:43:31+00:00,2026-08-09,Watch Ultra 2,v18.2.1,GS-LEO-05,GS-CA-B,Roadside_Assistance,13.74,16.1,787.0,0.6499,Degraded,-1,1
SES-166030,2026-08-09 10:01:34+00:00,2026-08-09,Watch Ultra 2,v18.2.1,GS-LEO-01,GS-CA-B,Messages_Satellite,13.53,31.8,950.0,0.6442,Degraded,-1,1
SES-110452,2026-08-10 11:57:16+00:00,2026-08-10,Watch Ultra 2,v18.1.0,GS-LEO-08,GS-CA-B,Roadside_Assistance,8.43,39.1,874.0,0.7055,Degraded,-1,1
SES-189643,2026-08-07 17:17:34+00:00,2026-08-07,Watch Ultra 2,v18.2.1,GS-LEO-22,GS-CA-B,Emergency_SOS,13.78,53.2,832.0,0.675,Degraded,-1,1
SES-113916,2026-08-02 15:26:16+00:00,2026-08-02,Watch Ultra 2,v18.2.1,GS-LEO-05,GS-CA-B,Messages_Satellite,16.59,83.5,745.0,0.7139,Degraded,-1,1
SES-130226,2026-08-09 01:55:25+00:00,2026-08-09,Watch Ultra 2,v18.2.0-b2,GS-LEO-21,GS-CA-B,Messages_Satellite,6.14,39.0,4137.0,0.0435,Degraded,-1,1
SES-172006,2026-08-25 22:03:40+00:00,2026-08-25,Watch Ultra 2,v18.2.0-b2,GS-LEO-21,GS-OR-D,FindMy_Ping,8.0,83.0,4025.0,0.0908,Degraded,-1,1
SES-169371,2026-08-15 00:11:08+00:00,2026-08-15,Watch Ultra 2,v18.2.0-b2,GS-LEO-21,GS-CA-B,Roadside_Assistance,15.59,55.5,4003.0,0.0048,Degraded,-1,1
SES-153900,2026-08-19 23:21:39+00:00,2026-08-19,Watch Ultra 2,v18.2.0-b2,GS-LEO-21,GS-FL-C,Messages_Satellite,13.82,78.0,3882.0,0.1187,Degraded,-1,1
SES-114807,2026-08-03 22:14:19+00:00,2026-08-03,Watch Ultra 2,v18.2.0-b2,GS-LEO-21,GS-FL-C,Messages_Satellite,8.6,85.0,3529.0,0.085,Degraded,-1,1
SES-183865,2026-08-31 00:51:40+00:00,2026-08-31,Watch Ultra 2,v18.2.0-b2,GS-LEO-21,GS-OR-D,Messages_Satellite,21.36,37.8,3446.0,0.0941,Degraded,-1,1
SES-136137,2026-08-12 03:42:02+00:00,2026-08-12,Watch Ultra 2,v18.2.1,GS-LEO-05,GS-CA-B,Messages_Satellite,19.79,33.4,700.0,0.839,Degraded,-1,1
SES-175407,2026-08-21 22:21:22+00:00,2026-08-21,Watch Ultra 2,v18.2.0-b2,GS-LEO-21,GS-CA-B,Messages_Satellite,7.06,45.3,1034.0,0.7095,Degraded,-1,1
SES-156936,2026-08-19 00:36:23+00:00,2026-08-19,Watch Ultra 2,v18.2.0-b2,GS-LEO-04,GS-TX-A,FindMy_Ping,8.94,18.3,4483.0,0.0657,Degraded,-1,1
SES-106610,2026-08-20 16:39:30+00:00,2026-08-20,Watch Ultra 2,v18.2.0-b2,GS-LEO-04,GS-CA-B,Messages_Satellite,17.8,44.3,4170.0,0.0932,Degraded,-1,1
SES-154940,2026-08-20 19:14:11+00:00,2026-08-20,Watch Ultra 2,v18.2.0-b2,GS-LEO-04,GS-CA-B,Emergency_SOS,12.89,16.0,4164.0,0.1945,Degraded,-1,1
SES-122306,2026-08-08 03:57:08+00:00,2026-08-08,Watch Ultra 2,v18.2.0-b2,GS-LEO-04,GS-FL-C,FindMy_Ping,17.81,15.2,4141.0,0.0563,Degraded,-1,1
SES-194412,2026-08-22 00:58:30+00:00,2026-08-22,Watch Ultra 2,v18.2.0-b2,GS-LEO-08,GS-CA-B,FindMy_Ping,21.41,49.6,2784.0,0.1164,Degraded,-1,1
SES-190886,2026-08-05 04:38:08+00:00,2026-08-05,Watch Ultra 2,v18.2.0-b2,GS-LEO-04,GS-TX-A,Messages_Satellite,17.87,70.7,4107.0,0.0039,Degraded,-1,1
SES-188136,2026-08-30 00:28:13+00:00,2026-08-30,Watch Ultra 2,v18.2.0-b2,GS-LEO-04,GS-FL-C,Messages_Satellite,15.07,74.8,3964.0,0.1309,Degraded,-1,1
SES-167952,2026-08-08 12:12:01+00:00,2026-08-08,Watch Ultra 2,v18.2.0-b2,GS-LEO-08,GS-CA-B,Messages_Satellite,10.2,61.4,3497.0,0.6381,Degraded,-1,1
SES-108884,2026-08-28 10:58:06+00:00,2026-08-28,Watch Ultra 2,v18.2.0-b2,GS-LEO-08,GS-TX-A,Messages_Satellite,7.35,76.3,3941.0,0.0713,Degraded,-1,1
SES-186645,2026-08-24 16:55:30+00:00,2026-08-24,Watch Ultra 2,v18.2.0-b2,GS-LEO-08,GS-TX-A,FindMy_Ping,16.36,23.4,3970.0,0.1361,Degraded,-1,1
SES-166026,2026-08-05 02:52:35+00:00,2026-08-05,Watch Ultra 2,v18.2.0-b2,GS-LEO-04,GS-TX-A,Messages_Satellite,8.08,77.9,3834.0,0.194,Degraded,-1,1
SES-137472,2026-08-25 05:02:23+00:00,2026-08-25,Watch Ultra 2,v18.2.0-b2,GS-LEO-08,GS-CA-B,Roadside_Assistance,11.28,81.1,4132.0,0.1334,Degraded,-1,1
SES-146756,2026-08-26 13:11:05+00:00,2026-08-26,Watch Ultra 2,v18.2.0-b2,GS-LEO-08,GS-FL-C,Roadside_Assistance,15.81,57.3,4225.0,0.0081,Degraded,-1,1
SES-157718,2026-08-10 16:11:42+00:00,2026-08-10,Watch Ultra 2,v18.2.0-b2,GS-LEO-08,GS-FL-C,Roadside_Assistance,7.76,40.5,4395.0,0.2157,Degraded,-1,1
SES-146151,2026-08-28 08:34:13+00:00,2026-08-28,Watch Ultra 2,v18.1.0,GS-LEO-01,GS-CA-B,Emergency_SOS,10.65,56.1,1039.0,0.7523,Degraded,-1,1
SES-180150,2026-08-23 17:27:11+00:00,2026-08-23,Watch Ultra 2,v18.2.0-b2,GS-LEO-04,GS-OR-D,Messages_Satellite,18.93,83.9,3231.0,0.0121,Degraded,-1,1
SES-116362,2026-08-07 06:47:40+00:00,2026-08-07,Watch Ultra 2,v18.2.0-b2,GS-LEO-04,GS-FL-C,Roadside_Assistance,17.83,15.0,2744.0,0.0013,Degraded,-1,1
SES-178859,2026-08-16 20:40:20+00:00,2026-08-16,Watch Ultra 2,v18.2.0-b2,GS-LEO-04,GS-CA-B,Roadside_Assistance,12.39,74.8,2735.0,0.5483,Degraded,-1,1
SES-144075,2026-08-29 06:31:07+00:00,2026-08-29,Watch Ultra 2,v18.2.1,GS-LEO-01,GS-CA-B,Messages_Satellite,6.12,75.5,1075.0,0.9178,Degraded,-1,1
SES-191660,2026-08-22 04:05:20+00:00,2026-08-22,Watch Ultra 2,v18.2.1,GS-LEO-04,GS-CA-B,Messages_Satellite,3.2,47.9,1110.0,0.4971,Degraded,-1,1
SES-139596,2026-08-31 09:02:54+00:00,2026-08-31,Watch Ultra 2,v18.2.1,GS-LEO-09,GS-CA-B,Roadside_Assistance,14.04,27.3,841.0,0.6711,Degraded,-1,1
SES-176622,2026-08-21 22:11:49+00:00,2026-08-21,Watch Ultra 2,v18.2.0-b2,GS-LEO-01,GS-CA-B,Messages_Satellite,10.19,78.3,2954.0,0.5111,Degraded,-1,1
SES-147103,2026-08-20 23:54:56+00:00,2026-08-20,Watch Ultra 2,v18.2.0-b2,GS-LEO-01,GS-FL-C,Messages_Satellite,17.24,23.3,2969.0,0.2925,Degraded,-1,1
SES-138312,2026-08-07 12:59:45+00:00,2026-08-07,Watch Ultra 2,v18.2.1,GS-LEO-09,GS-CA-B,Roadside_Assistance,12.52,41.4,890.0,0.6612,Degraded,-1,1
SES-179612,2026-08-19 12:20:28+00:00,2026-08-19,Watch Ultra 2,v18.2.0-b2,GS-LEO-01,GS-OR-D,Roadside_Assistance,20.98,61.9,3515.0,0.0533,Degraded,-1,1
SES-198882,2026-08-30 05:09:19+00:00,2026-08-30,Watch Ultra 2,v18.2.0-b2,GS-LEO-01,GS-CA-B,Messages_Satellite,22.55,56.9,3532.0,0.0802,Degraded,-1,1
SES-120940,2026-08-29 01:13:54+00:00,2026-08-29,Watch Ultra 2,v18.2.0-b2,GS-LEO-01,GS-FL-C,Messages_Satellite,16.14,83.8,3639.0,0.2092,Degraded,-1,1
SES-171140,2026-08-13 02:15:05+00:00,2026-08-13,Watch Ultra 2,v18.2.1,GS-LEO-21,GS-CA-B,Messages_Satellite,15.53,81.7,768.0,0.6819,Degraded,-1,1
SES-196003,2026-08-16 01:52:07+00:00,2026-08-16,Watch Ultra 2,v18.1.0,GS-LEO-21,GS-CA-B,Emergency_SOS,17.34,56.6,764.0,0.6893,Degraded,-1,1
SES-144486,2026-08-16 21:54:08+00:00,2026-08-16,Watch Ultra 2,v18.2.0-b2,GS-LEO-01,GS-CA-B,Messages_Satellite,3.86,38.7,4010.0,0.3444,Degraded,-1,1
SES-120195,2026-08-11 07:00:45+00:00,2026-08-11,Watch Ultra 2,v18.2.0-b2,GS-LEO-01,GS-CA-B,Messages_Satellite,10.38,65.5,4354.0,0.4422,Degraded,-1,1
SES-198648,2026-08-09 00:29:34+00:00,2026-08-09,Watch Ultra 2,v18.2.0-b2,GS-LEO-01,GS-OR-D,Messages_Satellite,14.02,67.7,4368.0,0.0728,Degraded,-1,1
SES-103475,2026-08-16 01:59:20+00:00,2026-08-16,Watch Ultra 2,v18.2.1,GS-LEO-21,GS-CA-B,Messages_Satellite,21.82,15.5,649.0,0.4712,Degraded,-1,1
SES-171909,2026-08-07 06:24:18+00:00,2026-08-07,Watch Ultra 2,v18.1.0,GS-LEO-04,GS-CA-B,Roadside_Assistance,7.2,63.7,1010.0,0.8172,Degraded,-1,1
SES-197638,2026-08-08 09:32:56+00:00,2026-08-08,Watch Ultra 2,v18.2.0-b2,GS-LEO-20,GS-CA-B,FindMy_Ping,11.07,55.8,4346.0,0.6377,Degraded,-1,1
SES-177058,2026-08-19 01:25:53+00:00,2026-08-19,Watch Ultra 2,v18.2.0-b2,GS-LEO-20,GS-TX-A,Messages_Satellite,15.35,81.6,4260.0,0.0811,Degraded,-1,1
SES-188770,2026-08-11 20:55:42+00:00,2026-08-11,Watch Ultra 2,v18.2.0-b2,GS-LEO-20,GS-CA-B,Roadside_Assistance,12.03,45.2,4206.0,0.6356,Degraded,-1,1
SES-111241,2026-08-16 13:07:31+00:00,2026-08-16,Watch Ultra 2,v18.2.0-b2,GS-LEO-20,GS-CA-B,Roadside_Assistance,17.72,78.1,4066.0,0.0882,Degraded,-1,1
SES-158950,2026-08-28 06:31:25+00:00,2026-08-28,Watch Ultra 2,v18.2.0-b2,GS-LEO-20,GS-OR-D,FindMy_Ping,22.78,40.9,3260.0,0.1211,Degraded,-1,1
SES-190585,2026-08-29 20:52:31+00:00,2026-08-29,Watch Ultra 2,v18.2.0-b2,GS-LEO-20,GS-CA-B,Messages_Satellite,21.02,16.4,2781.0,0.0175,Degraded,-1,1
SES-174130,2026-08-09 23:08:25+00:00,2026-08-09,Watch Ultra 2,v18.2.0-b2,GS-LEO-09,GS-CA-B,Messages_Satellite,8.1,66.4,1054.0,0.669,Degraded,-1,1
SES-122905,2026-08-02 15:00:48+00:00,2026-08-02,Watch Ultra 2,v18.2.1,GS-LEO-20,GS-CA-B,Messages_Satellite,8.62,63.6,1011.0,0.585,Degraded,-1,1
SES-142090,2026-08-14 05:19:02+00:00,2026-08-14,Watch Ultra 2,v18.1.0,GS-LEO-04,GS-CA-B,FindMy_Ping,8.65,57.6,979.0,0.5851,Degraded,-1,1
SES-152172,2026-08-23 12:30:14+00:00,2026-08-23,Watch Ultra 2,v18.2.0-b2,GS-LEO-09,GS-FL-C,Messages_Satellite,21.17,27.7,3654.0,0.1556,Degraded,-1,1
SES-155147,2026-08-15 17:20:54+00:00,2026-08-15,Watch Ultra 2,v18.2.0-b2,GS-LEO-09,GS-OR-D,Messages_Satellite,20.82,56.6,3683.0,0.0524,Degraded,-1,1
SES-169713,2026-08-08 10:14:02+00:00,2026-08-08,Watch Ultra 2,v18.2.0-b2,GS-LEO-09,GS-TX-A,Roadside_Assistance,20.04,51.8,4188.0,0.1385,Degraded,-1,1
SES-166835,2026-08-03 04:56:54+00:00,2026-08-03,Watch Ultra 2,v18.2.0-b2,GS-LEO-09,GS-OR-D,Messages_Satellite,3.97,17.2,4225.0,0.2623,Degraded,-1,1
SES-160666,2026-08-30 20:16:57+00:00,2026-08-30,Watch Ultra 2,v18.2.0-b2,GS-LEO-09,GS-OR-D,Messages_Satellite,8.33,77.0,4243.0,0.0838,Degraded,-1,1
