session_id,timestamp,device_model,firmware_version,satellite_id,ground_station_id,service_type,snr_db,elevation_degrees,handshake_latency_ms,packet_drop_rate
SES-100012,2026-08-02 10:42:58,Watch Ultra 2,v18.1.0,GS-LEO-18,GS-FL-C,Roadside_Assistance,12.85,25.1,919.0,0.0112
SES-100013,2026-08-05 13:09:46,iPhone 16 Pro,v18.2.0-b2,GS-LEO-02,GS-OR-D,Messages_Satellite,7.35,40.1,3138.0,0.0021
SES-100014,2026-08-11 14:43:54,iPhone 15 Pro,v18.1.0,GS-LEO-03,GS-CA-B,Messages_Satellite,11.03,32.4,989.0,0.5885
SES-100015,2026-08-12 07:04:10,iPhone 15 Pro,v18.2.1,GS-LEO-10,GS-CA-B,Messages_Satellite,21.05,37.0,716.0,0.1069
SES-100016,2026-08-25 12:46:53,iPhone 16 Pro,v18.2.0-b2,GS-LEO-06,GS-FL-C,Messages_Satellite,14.4,31.5,2782.0,0.0089
SES-100017,2026-08-30 05:24:09,iPhone 17 Pro,v18.2.0-b2,GS-LEO-03,GS-CA-B,Messages_Satellite,14.95,36.8,894.0,0.0821
SES-100018,2026-08-02 06:54:59,iPhone 16 Pro,v18.2.0-b2,GS-LEO-04,GS-TX-A,Emergency_SOS,13.67,54.5,952.0,0.0433
SES-100019,2026-08-28 05:53:52,iPhone 16 Pro,v18.1.0,GS-LEO-20,GS-TX-A,Roadside_Assistance,10.18,17.9,997.0,0.046
SES-100020,2026-08-10 15:39:45,iPhone 17 Pro,v18.2.1,GS-LEO-04,GS-CA-B,Roadside_Assistance,14.85,17.9,779.0,0.086
SES-100021,2026-08-27 10:54:10,iPhone 15 Pro,v18.1.0,GS-LEO-05,GS-TX-A,Emergency_SOS,10.16,51.0,957.0,0.0399
SES-100022,2026-08-21 08:46:33,iPhone 16 Pro,v18.2.1,GS-LEO-11,GS-CA-B,Messages_Satellite,8.11,65.6,974.0,0.0306
SES-100023,2026-08-11 16:49:54,iPhone 16 Pro,v18.2.1,GS-LEO-14,GS-OR-D,FindMy_Ping,7.89,21.2,1067.0,0.0163
SES-100024,2026-08-22 19:21:59,iPhone 16 Pro,v18.1.0,GS-LEO-20,GS-TX-A,Messages_Satellite,17.64,71.1,742.0,0.0286
SES-100025,2026-08-29 14:32:39,iPhone 17 Pro,v18.2.0-b2,GS-LEO-09,GS-FL-C,FindMy_Ping,2.81,64.2,1116.0,0.0026
SES-100026,2026-08-14 12:06:56,iPhone 15 Pro,v18.1.0,GS-LEO-24,GS-TX-A,Emergency_SOS,11.63,47.8,912.0,0.0226
SES-100027,2026-08-01 07:34:17,iPhone 17 Pro,v18.2.1,GS-LEO-21,GS-FL-C,Messages_Satellite,15.86,48.0,771.0,0.1703
SES-100028,2026-08-08 18:00:59,iPhone 17 Pro,v18.2.0-b2,GS-LEO-06,GS-CA-B,FindMy_Ping,14.67,75.8,858.0,0.1061
SES-100029,2026-08-21 12:22:53,iPhone 15 Pro,v18.1.0,GS-LEO-12,GS-CA-B,Roadside_Assistance,14.03,29.7,890.0,0.0476
SES-100030,2026-08-17 12:25:14,iPhone 17 Pro,v18.2.1,GS-LEO-03,GS-CA-B,Messages_Satellite,23.53,61.0,670.0,0.4558
SES-100031,2026-08-14 11:44:36,iPhone 15 Pro,v18.2.0-b2,GS-LEO-18,GS-FL-C,Messages_Satellite,7.59,17.2,974.0,0.0817
SES-100032,2026-08-08 13:08:48,iPhone 15 Pro,v18.2.1,GS-LEO-09,GS-CA-B,Messages_Satellite,13.94,64.0,810.0,0.0828
SES-100033,2026-08-11 10:51:31,Watch Ultra 3,v18.2.1,GS-LEO-07,GS-FL-C,Roadside_Assistance,8.47,80.2,1099.0,0.0484
SES-100034,2026-08-17 08:09:39,Watch Ultra 3,v18.2.1,GS-LEO-16,GS-TX-A,Messages_Satellite,16.42,68.9,849.0,0.0212
SES-100035,2026-08-05 23:05:00,Watch Ultra 2,v18.1.0,GS-LEO-10,GS-FL-C,Messages_Satellite,12.55,56.6,815.0,0.0613
SES-100036,2026-08-05 12:03:24,iPhone 16 Pro,v18.1.0,GS-LEO-19,GS-OR-D,Messages_Satellite,10.96,52.6,902.0,0.0534
SES-100037,2026-08-19 10:38:50,iPhone 15 Pro,v18.2.1,GS-LEO-02,GS-OR-D,Roadside_Assistance,20.04,18.0,731.0,0.0302
SES-100038,2026-08-05 16:40:57,iPhone 17 Pro,v18.2.1,GS-LEO-14,GS-FL-C,FindMy_Ping,13.87,52.8,842.0,0.0073
SES-100039,2026-08-18 10:14:28,iPhone 16 Pro,v18.2.0-b2,GS-LEO-10,GS-OR-D,FindMy_Ping,12.36,69.0,983.0,0.0061
SES-100040,2026-08-17 16:44:14,iPhone 15 Pro,v18.2.0-b2,GS-LEO-19,GS-TX-A,Roadside_Assistance,10.69,55.0,2522.0,0.0763
SES-100041,2026-08-30 07:23:30,iPhone 16 Pro,v18.2.0-b2,GS-LEO-07,GS-CA-B,Messages_Satellite,23.31,68.7,669.0,0.0456
SES-100042,2026-08-13 20:11:20,iPhone 15 Pro,v18.2.1,GS-LEO-23,GS-FL-C,Messages_Satellite,14.48,40.4,869.0,0.0441
SES-100043,2026-08-03 02:37:24,Watch Ultra 3,v18.2.1,GS-LEO-02,GS-TX-A,Messages_Satellite,13.72,26.1,887.0,0.1135
SES-100044,2026-08-23 07:16:07,iPhone 16 Pro,v18.1.0,GS-LEO-02,GS-OR-D,Messages_Satellite,15.82,53.1,801.0,0.0193
SES-100045,2026-08-27 00:45:03,iPhone 17 Pro,v18.2.0-b2,GS-LEO-03,GS-TX-A,Emergency_SOS,15.06,80.6,833.0,0.1403
SES-100046,2026-08-07 01:25:58,iPhone 16 Pro,v18.1.0,GS-LEO-22,GS-TX-A,Messages_Satellite,10.01,67.8,1069.0,0.1598
SES-100047,2026-08-19 09:01:28,iPhone 17 Pro,v18.1.0,GS-LEO-16,GS-TX-A,Messages_Satellite,11.16,31.5,875.0,0.0167
SES-100048,2026-08-04 19:48:31,iPhone 17 Pro,v18.1.0,GS-LEO-05,GS-FL-C,Emergency_SOS,12.47,24.9,892.0,0.0585
SES-100049,2026-08-27 19:10:26,iPhone 15 Pro,v18.1.0,GS-LEO-11,GS-OR-D,FindMy_Ping,10.29,28.8,940.0,0.015
SES-100050,2026-08-15 05:34:38,Watch Ultra 3,v18.1.0,GS-LEO-24,GS-FL-C,FindMy_Ping,10.53,41.0,909.0,0.1669
SES-100051,2026-08-31 12:25:06,iPhone 17 Pro,v18.2.0-b2,GS-LEO-24,GS-FL-C,Roadside_Assistance,22.0,24.4,730.0,0.0666
SES-100052,2026-08-31 00:37:39,Watch Ultra 3,v18.1.0,GS-LEO-02,GS-OR-D,Emergency_SOS,4.91,37.7,1095.0,0.0458
SES-100053,2026-08-18 13:20:07,Watch Ultra 2,v18.2.1,GS-LEO-04,GS-FL-C,Roadside_Assistance,11.85,74.6,896.0,0.0081
SES-100054,2026-08-29 00:39:50,iPhone 17 Pro,v18.2.1,GS-LEO-01,GS-CA-B,Emergency_SOS,14.59,57.1,919.0,0.0986
SES-100055,2026-08-10 08:01:56,Watch Ultra 3,v18.2.1,GS-LEO-20,GS-OR-D,Messages_Satellite,12.67,65.1,908.0,0.0678
SES-100056,2026-08-04 09:02:15,iPhone 15 Pro,v18.2.1,GS-LEO-05,GS-TX-A,Messages_Satellite,9.0,28.8,958.0,0.1381
SES-100057,2026-08-03 05:23:21,iPhone 15 Pro,v18.2.1,GS-LEO-02,GS-OR-D,Roadside_Assistance,16.26,21.5,794.0,0.0173
SES-100058,2026-08-12 01:31:14,iPhone 15 Pro,v18.1.0,GS-LEO-18,GS-FL-C,Emergency_SOS,7.11,36.0,934.0,0.0571
SES-100059,2026-08-15 01:09:41,iPhone 16 Pro,v18.1.0,GS-LEO-05,GS-OR-D,FindMy_Ping,13.17,20.7,899.0,0.1056
SES-100060,2026-08-04 20:57:51,iPhone 16 Pro,v18.2.1,GS-LEO-12,GS-CA-B,Messages_Satellite,13.49,27.2,884.0,0.0096
SES-100061,2026-08-12 07:13:15,iPhone 16 Pro,v18.2.0-b2,GS-LEO-14,GS-CA-B,Messages_Satellite,10.01,34.5,980.0,0.1119
SES-100062,2026-08-05 21:40:30,Watch Ultra 2,v18.1.0,GS-LEO-18,GS-CA-B,Messages_Satellite,14.61,23.9,940.0,0.7166
SES-100063,2026-08-19 10:52:44,iPhone 16 Pro,v18.1.0,GS-LEO-07,GS-FL-C,Roadside_Assistance,14.42,34.6,889.0,0.0025
SES-100064,2026-08-14 11:51:45,iPhone 16 Pro,v18.2.1,GS-LEO-17,GS-TX-A,FindMy_Ping,9.15,38.2,913.0,0.0911
SES-100065,2026-08-23 00:15:40,iPhone 17 Pro,v18.1.0,GS-LEO-14,GS-CA-B,FindMy_Ping,2.68,51.5,1024.0,0.621
SES-100066,2026-08-31 20:37:33,iPhone 15 Pro,v18.2.0-b2,GS-LEO-12,GS-CA-B,FindMy_Ping,11.51,53.7,949.0,0.0219
SES-100067,2026-08-18 17:03:37,Watch Ultra 2,v18.2.1,GS-LEO-09,GS-FL-C,FindMy_Ping,3.22,54.9,1145.0,0.09
SES-100068,2026-08-08 21:30:20,iPhone 15 Pro,v18.2.1,GS-LEO-04,GS-TX-A,FindMy_Ping,18.75,83.6,694.0,0.0115
SES-100069,2026-08-18 23:17:31,Watch Ultra 3,v18.1.0,GS-LEO-10,GS-OR-D,FindMy_Ping,6.85,41.6,1074.0,0.025
SES-100070,2026-08-18 05:55:13,iPhone 17 Pro,v18.2.0-b2,GS-LEO-19,GS-FL-C,Messages_Satellite,11.74,59.9,4129.0,0.2405
SES-100071,2026-08-11 04:05:36,iPhone 15 Pro,v18.2.1,GS-LEO-23,GS-FL-C,Emergency_SOS,12.21,15.5,841.0,0.0627
SES-100072,2026-08-13 23:03:06,iPhone 15 Pro,v18.1.0,GS-LEO-14,GS-OR-D,Roadside_Assistance,12.29,15.4,924.0,0.0616
SES-100073,2026-08-04 11:11:23,Watch Ultra 2,v18.1.0,GS-LEO-09,GS-OR-D,Emergency_SOS,13.54,62.2,864.0,0.1986
SES-100074,2026-08-30 13:41:20,iPhone 17 Pro,v18.1.0,GS-LEO-17,GS-CA-B,Messages_Satellite,8.97,52.1,1013.0,0.3952
SES-100075,2026-08-31 19:48:11,iPhone 17 Pro,v18.2.0-b2,GS-LEO-06,GS-FL-C,Roadside_Assistance,14.99,75.0,781.0,0.0716
SES-100076,2026-08-09 07:23:27,iPhone 17 Pro,v18.2.0-b2,GS-LEO-04,GS-TX-A,FindMy_Ping,14.0,57.7,822.0,0.1061
SES-100077,2026-08-26 22:19:05,iPhone 15 Pro,v18.2.1,GS-LEO-19,GS-FL-C,Messages_Satellite,17.55,24.5,672.0,0.0835
SES-100078,2026-08-12 21:13:31,iPhone 16 Pro,v18.2.0-b2,GS-LEO-12,GS-TX-A,Messages_Satellite,12.43,70.0,957.0,0.013
SES-100079,2026-08-08 22:22:39,iPhone 15 Pro,v18.2.0-b2,GS-LEO-24,GS-FL-C,Messages_Satellite,12.63,36.1,3509.0,0.0095
SES-100080,2026-08-23 10:34:19,Watch Ultra 2,v18.2.0-b2,GS-LEO-13,GS-TX-A,Roadside_Assistance,16.24,18.1,926.0,0.1215
SES-100081,2026-08-19 10:05:51,iPhone 17 Pro,v18.2.1,GS-LEO-15,GS-OR-D,FindMy_Ping,8.65,71.3,950.0,0.0694
SES-100082,2026-08-14 02:30:43,iPhone 16 Pro,v18.2.0-b2,GS-LEO-02,GS-FL-C,Messages_Satellite,9.96,36.9,906.0,0.0545
SES-100083,2026-08-28 00:53:36,iPhone 15 Pro,v18.1.0,GS-LEO-21,GS-OR-D,Roadside_Assistance,7.49,31.8,1050.0,0.0488
SES-100084,2026-08-11 15:52:12,iPhone 16 Pro,v18.2.0-b2,GS-LEO-24,GS-OR-D,Messages_Satellite,15.7,20.4,3514.0,0.0389
SES-100085,2026-08-16 17:49:00,iPhone 16 Pro,v18.2.1,GS-LEO-01,GS-TX-A,Messages_Satellite,15.14,25.1,924.0,0.0739
SES-100086,2026-08-03 17:10:20,iPhone 17 Pro,v18.2.1,GS-LEO-16,GS-TX-A,Roadside_Assistance,17.52,64.6,737.0,0.0893
SES-100087,2026-08-12 02:51:37,iPhone 17 Pro,v18.2.1,GS-LEO-03,GS-TX-A,Messages_Satellite,12.25,53.6,883.0,0.0829
SES-100088,2026-08-02 13:23:58,Watch Ultra 2,v18.2.1,GS-LEO-17,GS-CA-B,Messages_Satellite,11.87,68.7,861.0,0.0192
SES-100089,2026-08-16 07:31:45,iPhone 16 Pro,v18.2.0-b2,GS-LEO-23,GS-CA-B,Messages_Satellite,10.49,15.7,3188.0,0.1829
SES-100090,2026-08-20 11:23:27,iPhone 15 Pro,v18.1.0,GS-LEO-11,GS-OR-D,Emergency_SOS,8.74,78.0,935.0,0.0772
SES-100091,2026-08-13 23:56:26,iPhone 17 Pro,v18.2.1,GS-LEO-13,GS-FL-C,Messages_Satellite,14.06,31.1,801.0,0.0335
SES-100092,2026-08-04 05:06:55,iPhone 17 Pro,v18.2.0-b2,GS-LEO-01,GS-FL-C,FindMy_Ping,6.93,75.5,1016.0,0.0839
SES-100093,2026-08-11 05:48:46,iPhone 17 Pro,v18.1.0,GS-LEO-23,GS-OR-D,Messages_Satellite,10.87,34.9,981.0,0.076
SES-100094,2026-08-28 12:48:45,iPhone 17 Pro,v18.2.0-b2,GS-LEO-18,GS-TX-A,Messages_Satellite,15.99,55.4,787.0,0.0063
SES-100095,2026-08-16 06:37:34,iPhone 16 Pro,v18.2.0-b2,GS-LEO-12,GS-OR-D,Roadside_Assistance,9.15,26.7,971.0,0.0014
SES-100096,2026-08-11 07:43:40,iPhone 17 Pro,v18.2.0-b2,GS-LEO-21,GS-OR-D,Messages_Satellite,12.51,42.6,898.0,0.0995
SES-100097,2026-08-25 05:38:47,iPhone 16 Pro,v18.2.1,GS-LEO-19,GS-FL-C,Messages_Satellite,5.33,64.8,1009.0,0.1061
SES-100098,2026-08-20 04:56:40,iPhone 15 Pro,v18.2.0-b2,GS-LEO-01,GS-TX-A,Messages_Satellite,11.22,21.8,1028.0,0.0919
SES-100099,2026-08-23 06:36:04,iPhone 15 Pro,v18.1.0,GS-LEO-22,GS-OR-D,FindMy_Ping,11.75,47.7,956.0,0.0796
SES-100100,2026-08-07 22:27:26,iPhone 15 Pro,v18.2.1,GS-LEO-08,GS-TX-A,Messages_Satellite,16.57,68.8,860.0,0.0063
SES-100101,2026-08-13 20:36:27,iPhone 17 Pro,v18.1.0,GS-LEO-14,GS-FL-C,Emergency_SOS,9.91,41.3,921.0,0.1776
SES-100102,2026-08-07 18:40:52,iPhone 16 Pro,v18.2.1,GS-LEO-22,GS-FL-C,Messages_Satellite,11.47,30.0,885.0,0.1519
SES-100103,2026-08-12 23:20:30,iPhone 17 Pro,v18.1.0,GS-LEO-22,GS-TX-A,Roadside_Assistance,14.64,77.9,822.0,0.0315
SES-100104,2026-08-28 06:02:28,Watch Ultra 3,v18.2.1,GS-LEO-07,GS-FL-C,Roadside_Assistance,9.56,37.5,885.0,0.1149
SES-100105,2026-08-27 03:57:14,iPhone 16 Pro,v18.2.1,GS-LEO-01,GS-FL-C,Roadside_Assistance,10.54,52.0,978.0,0.0696
SES-100106,2026-08-13 18:06:58,iPhone 16 Pro,v18.1.0,GS-LEO-05,GS-CA-B,Emergency_SOS,13.93,52.7,788.0,0.0108
SES-100107,2026-08-29 09:05:31,iPhone 17 Pro,v18.1.0,GS-LEO-06,GS-FL-C,Messages_Satellite,9.96,37.2,895.0,0.0709
SES-100108,2026-08-21 19:09:41,iPhone 16 Pro,v18.2.1,GS-LEO-17,GS-CA-B,Messages_Satellite,8.35,22.8,994.0,0.1476
SES-100109,2026-08-29 07:51:54,iPhone 15 Pro,v18.2.1,GS-LEO-10,GS-FL-C,Messages_Satellite,9.11,50.5,943.0,0.1268
SES-100110,2026-08-20 09:20:07,iPhone 16 Pro,v18.1.0,GS-LEO-24,GS-FL-C,Messages_Satellite,16.42,36.4,870.0,0.1254
SES-100111,2026-08-18 13:45:23,iPhone 15 Pro,v18.1.0,GS-LEO-19,GS-CA-B,FindMy_Ping,12.39,78.0,879.0,0.0339
SES-100112,2026-08-11 15:31:37,Watch Ultra 3,v18.2.0-b2,GS-LEO-16,GS-OR-D,Roadside_Assistance,6.33,21.4,3964.0,0.1678
SES-100113,2026-08-07 17:10:05,Watch Ultra 2,v18.2.1,GS-LEO-05,GS-CA-B,FindMy_Ping,11.28,34.2,934.0,0.0868
SES-100114,2026-08-25 17:38:28,iPhone 17 Pro,v18.1.0,GS-LEO-22,GS-TX-A,FindMy_Ping,9.56,24.1,942.0,0.0909
SES-100115,2026-08-24 22:59:15,Watch Ultra 2,v18.2.1,GS-LEO-15,GS-FL-C,Messages_Satellite,9.19,50.2,989.0,0.0005
SES-100116,2026-08-05 09:55:01,Watch Ultra 2,v18.1.0,GS-LEO-01,GS-OR-D,Messages_Satellite,14.76,22.7,844.0,0.0617
SES-100117,2026-08-03 06:53:40,iPhone 15 Pro,v18.2.0-b2,GS-LEO-14,GS-FL-C,FindMy_Ping,10.81,18.0,963.0,0.0829
SES-100118,2026-08-06 07:45:01,Watch Ultra 2,v18.2.1,GS-LEO-05,GS-FL-C,Messages_Satellite,7.48,32.6,1060.0,0.0714
SES-100119,2026-08-08 10:04:22,iPhone 17 Pro,v18.1.0,GS-LEO-11,GS-OR-D,Messages_Satellite,14.61,24.0,851.0,0.0508
SES-100120,2026-08-31 11:01:39,Watch Ultra 2,v18.1.0,GS-LEO-07,GS-FL-C,Messages_Satellite,12.65,52.1,900.0,0.0179
SES-100121,2026-08-08 18:23:33,Watch Ultra 2,v18.2.1,GS-LEO-04,GS-OR-D,FindMy_Ping,11.63,22.5,912.0,0.0202
SES-100122,2026-08-21 11:51:07,iPhone 16 Pro,v18.1.0,GS-LEO-22,GS-TX-A,FindMy_Ping,13.54,80.3,883.0,0.0087
SES-100123,2026-08-29 22:52:00,iPhone 15 Pro,v18.2.1,GS-LEO-11,GS-FL-C,Messages_Satellite,20.11,34.8,760.0,0.0112
SES-100124,2026-08-04 02:00:54,iPhone 16 Pro,v18.2.1,GS-LEO-15,GS-FL-C,Messages_Satellite,13.8,62.1,924.0,0.0713
SES-100125,2026-08-19 16:17:11,iPhone 16 Pro,v18.2.0-b2,GS-LEO-09,GS-FL-C,Messages_Satellite,20.69,47.4,668.0,0.1593
SES-100126,2026-08-19 12:37:07,Watch Ultra 2,v18.1.0,GS-LEO-11,GS-TX-A,Messages_Satellite,5.16,51.3,1043.0,0.1523
SES-100127,2026-08-29 22:15:37,Watch Ultra 2,v18.2.0-b2,GS-LEO-11,GS-FL-C,Roadside_Assistance,12.57,36.0,863.0,0.0596
SES-100128,2026-08-23 17:19:03,iPhone 15 Pro,v18.2.1,GS-LEO-19,GS-FL-C,Roadside_Assistance,9.96,49.7,1045.0,0.2533
SES-100129,2026-08-26 16:27:46,iPhone 17 Pro,v18.2.1,GS-LEO-10,GS-CA-B,FindMy_Ping,6.41,65.1,1035.0,0.0269
SES-100130,2026-08-13 04:55:07,iPhone 16 Pro,v18.2.1,GS-LEO-02,GS-CA-B,Roadside_Assistance,11.61,27.7,946.0,0.0774
SES-100131,2026-08-27 20:33:17,iPhone 16 Pro,v18.2.1,GS-LEO-24,GS-CA-B,Emergency_SOS,7.52,24.3,982.0,0.2677
SES-100132,2026-08-01 13:22:34,iPhone 15 Pro,v18.1.0,GS-LEO-03,GS-FL-C,Emergency_SOS,12.86,15.1,933.0,0.035
SES-100133,2026-08-06 13:27:44,iPhone 16 Pro,v18.1.0,GS-LEO-18,GS-CA-B,Messages_Satellite,14.35,38.3,801.0,0.0773
SES-100134,2026-08-27 01:36:56,Watch Ultra 3,v18.2.1,GS-LEO-07,GS-TX-A,Messages_Satellite,11.84,37.2,905.0,0.0145
SES-100135,2026-08-13 22:52:25,iPhone 16 Pro,v18.2.1,GS-LEO-08,GS-TX-A,Messages_Satellite,10.3,27.4,852.0,0.0671
SES-100136,2026-08-17 12:19:59,iPhone 17 Pro,v18.2.0-b2,GS-LEO-05,GS-FL-C,Emergency_SOS,12.53,80.0,859.0,0.0444
SES-100137,2026-08-06 09:58:03,iPhone 17 Pro,v18.2.1,GS-LEO-07,GS-CA-B,Messages_Satellite,17.24,25.2,776.0,0.0389
SES-100138,2026-08-15 05:57:08,iPhone 16 Pro,v18.2.1,GS-LEO-18,GS-TX-A,Roadside_Assistance,9.34,41.6,1015.0,0.0581
SES-100139,2026-08-22 02:32:17,Watch Ultra 3,v18.2.1,GS-LEO-13,GS-TX-A,Messages_Satellite,6.97,82.4,992.0,0.1007
SES-100140,2026-08-08 16:16:01,Watch Ultra 3,v18.2.0-b2,GS-LEO-24,GS-TX-A,Messages_Satellite,13.34,35.6,957.0,0.2158
SES-100141,2026-08-23 00:37:35,iPhone 16 Pro,v18.2.0-b2,GS-LEO-11,GS-OR-D,Messages_Satellite,13.55,31.4,751.0,0.1117
SES-100142,2026-08-01 03:46:51,iPhone 16 Pro,v18.2.1,GS-LEO-13,GS-OR-D,Messages_Satellite,18.11,49.7,828.0,0.0046
SES-100143,2026-08-13 18:52:13,iPhone 16 Pro,v18.2.0-b2,GS-LEO-02,GS-TX-A,Messages_Satellite,17.03,84.8,780.0,0.0072
SES-100144,2026-08-25 07:13:30,iPhone 16 Pro,v18.2.1,GS-LEO-19,GS-FL-C,Messages_Satellite,,65.2,854.0,0.0456
SES-100145,2026-08-09 16:08:40,iPhone 15 Pro,v18.2.1,GS-LEO-01,GS-FL-C,Messages_Satellite,10.33,36.5,947.0,0.0635
SES-100146,2026-08-25 15:29:31,iPhone 17 Pro,v18.2.0-b2,GS-LEO-08,GS-OR-D,Messages_Satellite,17.42,18.8,805.0,0.0467
SES-100147,2026-08-06 03:58:39,iPhone 17 Pro,v18.2.1,GS-LEO-06,GS-FL-C,Messages_Satellite,13.9,57.2,862.0,0.1522
SES-100148,2026-08-31 08:31:39,iPhone 15 Pro,v18.1.0,GS-LEO-15,GS-CA-B,Emergency_SOS,17.47,25.0,861.0,0.058
SES-100149,2026-08-15 11:42:48,iPhone 16 Pro,v18.2.1,GS-LEO-19,GS-FL-C,Messages_Satellite,10.65,48.3,1006.0,0.0463
SES-100150,2026-08-25 15:28:12,Watch Ultra 3,v18.1.0,GS-LEO-20,GS-TX-A,Messages_Satellite,14.07,46.0,845.0,0.0013
SES-100151,2026-08-30 13:30:06,iPhone 16 Pro,v18.2.1,GS-LEO-03,GS-TX-A,Messages_Satellite,8.25,40.7,973.0,0.078
SES-100152,2026-08-10 15:44:53,iPhone 15 Pro,v18.1.0,GS-LEO-10,GS-OR-D,FindMy_Ping,10.62,30.9,920.0,0.205
SES-100153,2026-08-08 10:04:14,iPhone 16 Pro,v18.2.0-b2,GS-LEO-02,GS-FL-C,FindMy_Ping,10.78,62.9,914.0,0.0621
SES-100154,2026-08-19 03:38:28,Watch Ultra 3,v18.2.0-b2,GS-LEO-03,GS-TX-A,Messages_Satellite,8.35,66.5,939.0,0.0824
SES-100155,2026-08-08 20:13:05,iPhone 16 Pro,v18.2.0-b2,GS-LEO-17,GS-FL-C,Roadside_Assistance,12.46,68.5,956.0,0.0712
SES-100156,2026-08-27 04:25:19,iPhone 17 Pro,v18.2.1,GS-LEO-07,GS-FL-C,Emergency_SOS,10.67,59.7,1013.0,0.0284
SES-100157,2026-08-26 17:54:24,iPhone 17 Pro,v18.2.1,GS-LEO-17,GS-CA-B,FindMy_Ping,19.06,23.7,679.0,0.1876
SES-100158,2026-08-01 00:39:58,iPhone 16 Pro,v18.2.1,GS-LEO-09,GS-TX-A,FindMy_Ping,13.33,34.9,919.0,0.0434
SES-100159,2026-08-30 01:49:15,iPhone 17 Pro,v18.2.1,GS-LEO-22,GS-CA-B,Messages_Satellite,13.15,60.5,915.0,0.5829
SES-100160,2026-08-16 17:40:09,iPhone 16 Pro,v18.2.1,GS-LEO-07,GS-FL-C,FindMy_Ping,16.28,51.4,770.0,0.0357
SES-100161,2026-08-24 17:16:00,iPhone 17 Pro,v18.2.0-b2,GS-LEO-02,GS-FL-C,Messages_Satellite,14.63,25.6,834.0,0.026
SES-100162,2026-08-01 22:41:31,iPhone 17 Pro,v18.2.0-b2,GS-LEO-01,GS-FL-C,Messages_Satellite,16.93,50.2,739.0,0.147
SES-100163,2026-08-06 10:20:07,iPhone 17 Pro,v18.1.0,GS-LEO-09,GS-TX-A,Emergency_SOS,9.81,15.4,930.0,0.0514
SES-100164,2026-08-18 14:54:11,iPhone 15 Pro,v18.2.0-b2,GS-LEO-03,GS-OR-D,FindMy_Ping,10.02,19.3,3819.0,0.1156
SES-100165,2026-08-15 22:16:47,Watch Ultra 2,v18.1.0,GS-LEO-21,GS-FL-C,Messages_Satellite,9.35,41.5,949.0,0.0215
SES-100166,2026-08-12 14:58:55,iPhone 16 Pro,v18.2.0-b2,GS-LEO-05,GS-TX-A,Messages_Satellite,11.46,53.2,851.0,0.1478
SES-100167,2026-08-03 19:29:15,iPhone 15 Pro,v18.1.0,GS-LEO-21,GS-TX-A,Messages_Satellite,15.93,60.9,825.0,0.0919
SES-100168,2026-08-12 16:38:08,iPhone 15 Pro,v18.2.1,GS-LEO-07,GS-CA-B,Messages_Satellite,11.91,36.6,898.0,0.5821
SES-100169,2026-08-28 13:01:07,iPhone 17 Pro,v18.2.1,GS-LEO-23,GS-CA-B,Roadside_Assistance,9.83,46.5,962.0,0.0751
SES-100170,2026-08-04 19:45:31,iPhone 17 Pro,v18.2.0-b2,GS-LEO-01,GS-TX-A,Messages_Satellite,8.09,43.8,973.0,0.0597
